Name,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,+/-,TEAM
A.J. Green,1,2,.500,0,0,0,3,1,0,4,+4,MIL
Ryan Rollins,1,1,1.000,1,3,4,8,3,1,3,+12,MIL
Kevin Porter Jr.,2,2,1.000,1,3,4,10,2,0,4,+1,MIL
Giannis Antetokounmpo,8,8,1.000,2,8,10,5,1,0,1,+21,MIL
Myles Turner,1,2,.500,1,3,4,2,0,2,1,+6,MIL
Kyle Kuzma,1,1,1.000,1,5,6,1,0,0,6,-7,MIL
Bobby Portis,2,2,1.000,2,4,6,1,0,1,1,-8,MIL
Gary Trent Jr.,0,0,,0,2,2,1,0,0,1,-17,MIL
Jericho Sims,0,0,,0,0,0,0,0,0,2,-7,MIL
Miles Bridges,4,5,.800,0,6,6,2,1,0,3,-22,CHA
Kon Knueppel,5,7,.714,1,3,4,3,0,0,2,-2,CHA
Brandon Miller,3,4,.750,1,6,7,4,0,0,4,-7,CHA
LaMelo Ball,2,2,1.000,0,2,2,7,2,0,0,-9,CHA
PJ Hall,2,2,1.000,5,3,8,1,0,2,2,-22,CHA
Collin Sexton,5,6,.833,0,0,0,6,1,0,2,+10,CHA
Sion James,0,0,,1,5,6,3,1,0,1,+6,CHA
Tidjane Salaün,2,2,1.000,0,4,4,1,0,1,3,+26,CHA
Josh Green,0,0,,0,0,0,0,0,0,0,+11,CHA
Liam McNeeley,0,0,,0,2,2,0,0,0,1,+4,CHA
